StudyID,Subgroup,Age_Group,Country,Device_Brand,Sampling_Rate_Hz,Sleep_Objective_Yes_No,Behavior,Minutes,Mean_Type,StudyID_display
"Dumuid, Maher, Lewis (2018) (China)",China,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (China) (China)"
"Dumuid, Maher, Lewis (2018) (India)",India,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (India) (India)"
"Dumuid, Maher, Lewis (2018) (India)",India,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (India) (India)"
"Dumuid, Maher, Lewis (2018) (India)",India,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (India) (India)"
"Dumuid, Maher, Lewis (2018) (India)",India,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (India) (India)"
"Dumuid, Maher, Lewis (2018) (South Africa)",South Africa,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (South Africa) (South Africa)"
"Dumuid, Maher, Lewis (2018) (South Africa)",South Africa,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (South Africa) (South Africa)"
"Dumuid, Maher, Lewis (2018) (South Africa)",South Africa,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (South Africa) (South Africa)"
"Dumuid, Maher, Lewis (2018) (South Africa)",South Africa,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (South Africa) (South Africa)"
"Dumuid, Maher, Lewis (2018) (Kenya)",Kenya,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Kenya) (Kenya)"
"Dumuid, Maher, Lewis (2018) (Kenya)",Kenya,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Kenya) (Kenya)"
"Dumuid, Maher, Lewis (2018) (Kenya)",Kenya,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Kenya) (Kenya)"
